scen.name,model,dag_name,N,betaAY,betaCY,betaAC,betaCR,betaQA,betaQR,betaQY,method,bhat,bhat_lo,bhat_hi,bhat_width,bhat_covers,adj_form_string,unadj_form_string,pR_emp,unique.scen,BhatBias,BhatCover,BhatWidth,BhatRMSE,BhatEstFail,BhatCIFail,BhatEmpSE,pR_Emp_Mean
7,OLS,II(a),10000,1,1,1,1,1,3,1,CC-adj,0.752988786697158,0.68724846782622,0.818729105568096,0.131480637741877,0,Y ~ A + C + Q,Y ~ A + Q,0.3146314,7 CC-adj,-0.247011213302842,0,0.131480637741877,0.249278255673774,0,0,0.0335594322047806,0.3146314
7,OLS,II(a),10000,1,1,1,1,1,3,1,MI-adj,0.865564788660067,0.793454033776067,0.937675543544066,0.144221509767999,0.038,Y ~ A + C + Q,Y ~ A + Q,0.3146314,7 MI-adj,-0.134435211339933,0.038,0.144221509767999,0.139011173885496,0,0,0.0353911422528421,0.3146314
7,OLS,II(a),10000,1,1,1,1,1,3,1,MI-unadj,0.750412506818724,0.658932350136209,0.841892663501238,0.182960313365029,0,Y ~ A + C + Q,Y ~ A + Q,0.3146314,7 MI-unadj,-0.249587493181276,0,0.182960313365029,0.25366649024804,0,0,0.0453301924614704,0.3146314
8,OLS,II(a)-Q,10000,1,1,1,1,1,3,1,gold-std,1.00005811992031,0.942878278922809,1.05723796091781,0.114359681995003,0.936,Y ~ A + C + Q,Y ~ A + Q,0.2107002,8 gold-std,5.81199203104151e-05,0.936,0.114359681995003,0.0302384138957473,0,0,0.0302534885686917,0.2107002
8,OLS,II(a)-Q,10000,1,1,1,1,1,3,1,CC-unadj,0.603375763882862,0.498682861860543,0.708068665905182,0.209385804044639,0,Y ~ A + C + Q,Y ~ A + Q,0.2107002,8 CC-unadj,-0.396624236117138,0,0.209385804044639,0.400201954708974,0,0,0.0534197861370796,0.2107002
8,OLS,II(a)-Q,10000,1,1,1,1,1,3,1,CC-adj,0.75307320029008,0.670221506517128,0.835924894063032,0.165703387545905,0,Y ~ A + C + Q,Y ~ A + Q,0.2107002,8 CC-adj,-0.24692679970992,0,0.165703387545905,0.250406882476288,0,0,0.0416232491689673,0.2107002
8,OLS,II(a)-Q,10000,1,1,1,1,1,3,1,MI-adj,0.866331536938258,0.791755358639353,0.940907715237163,0.14915235659781,0.058,Y ~ A + C + Q,Y ~ A + Q,0.2107002,8 MI-adj,-0.133668463061742,0.058,0.14915235659781,0.138313811300535,0,0,0.0355628611937762,0.2107002
8,OLS,II(a)-Q,10000,1,1,1,1,1,3,1,MI-unadj,0.750769000325151,0.656008555365272,0.84552944528503,0.189520889919759,0,Y ~ A + C + Q,Y ~ A + Q,0.2107002,8 MI-unadj,-0.249230999674849,0,0.189520889919759,0.253537541458971,0,0,0.0465549255313143,0.2107002
9,OLS,II(b),10000,1,1,1,1,1,3,1,gold-std,1.00007000462191,0.959634002363014,1.0405060068808,0.0808720045177874,0.943,,Y ~ A + Q,0.3377102,9 gold-std,7.00046219078716e-05,0.943,0.0808720045177874,0.0208028982626788,0,0,0.0208131896725279,0.3377102
9,OLS,II(b),10000,1,1,1,1,1,3,1,CC-unadj,0.606867072293482,0.533702848405544,0.680031296181419,0.146328447775875,0,,Y ~ A + Q,0.3377102,9 CC-unadj,-0.393132927706518,0,0.146328447775875,0.394770346093416,0,0,0.0359363148687097,0.3377102
9,OLS,II(b),10000,1,1,1,1,1,3,1,MI-unadj,0.986762798001164,0.918760408852544,1.05476518714978,0.136004778297239,0.865,,Y ~ A + Q,0.3377102,9 MI-unadj,-0.0132372019988363,0.865,0.136004778297239,0.0457545656701358,0,0,0.0438198235944033,0.3377102
